Chapter 1, chunk 1: domains missing; inferred ['strategy']
Chapter 4, chunk 1: domains missing; inferred ['timing', 'power', 'risk']
Chapter 5, chunk 1: domains missing; inferred ['timing', 'risk', 'data']
Chapter 6, chunk 1: domains missing; inferred ['psychology', 'risk', 'strategy']
Chapter 7, chunk 1: domains missing; inferred ['power', 'timing', 'truth']
Chapter 8, chunk 1: domains missing; inferred ['discipline']
Chapter 9, chunk 1: domains missing; inferred ['strategy']
Chapter 10, chunk 1: domains missing; inferred ['strategy']
Chapter 11, chunk 1: domains missing; inferred ['timing', 'power', 'base']
Chapter 12, chunk 1: domains missing; inferred ['legitimacy', 'timing', 'truth']
Chapter 13, chunk 1: domains missing; inferred ['timing', 'base', 'strategy']
Chapter 14, chunk 1: domains missing; inferred ['discipline', 'truth', 'legitimacy']
Chapter 15, chunk 1: domains missing; inferred ['base', 'timing', 'data']
Chapter 16, chunk 1: domains missing; inferred ['timing', 'base', 'legitimacy']
Chapter 18, chunk 1: domains missing; inferred ['truth', 'timing', 'data']
Chapter 19, chunk 1: domains missing; inferred ['strategy']
Chapter 20, chunk 1: domains missing; inferred ['timing', 'truth', 'risk']
Chapter 21, chunk 1: domains missing; inferred ['timing', 'base', 'power']
Chapter 22, chunk 1: domains missing; inferred ['timing']
Chapter 23, chunk 1: domains missing; inferred ['timing', 'base', 'data']
Chapter 24, chunk 1: domains missing; inferred ['base', 'timing', 'power']
Chapter 25, chunk 1: domains missing; inferred ['technology', 'timing', 'optionality']
Chapter 27, chunk 1: domains missing; inferred ['timing', 'base', 'discipline']
Chapter 28, chunk 1: domains missing; inferred ['timing', 'psychology', 'truth']
Chapter 2, chunk 1: domains missing; inferred ['strategy']
Chapter 3, chunk 1: domains missing; inferred ['timing', 'power', 'strategy']
Chapter 29, chunk 1: domains missing; inferred ['base', 'truth', 'discipline']
Chapter 30, chunk 1: domains missing; inferred ['timing', 'power', 'discipline']
Chapter 5, chunk 1: domains missing; inferred ['timing', 'risk', 'data']
Chapter 7, chunk 1: domains missing; inferred ['power', 'timing', 'truth']
Chapter 31, chunk 1: domains missing; inferred ['timing', 'strategy', 'truth']
Chapter 32, chunk 1: domains missing; inferred ['timing', 'strategy', 'truth']
Chapter 9, chunk 1: domains missing; inferred ['strategy']
Chapter 11, chunk 1: domains missing; inferred ['timing', 'power', 'base']
Chapter 33, chunk 1: domains missing; inferred ['timing', 'truth']
Chapter 34, chunk 1: domains missing; inferred ['truth', 'base', 'discipline']
Chapter 13, chunk 1: domains missing; inferred ['timing', 'base', 'strategy']
Chapter 15, chunk 1: domains missing; inferred ['base', 'timing', 'data']
Chapter 35, chunk 1: domains missing; inferred ['strategy']
Chapter 36, chunk 1: domains missing; inferred ['psychology', 'power', 'legitimacy']
Chapter 17, chunk 1: domains missing; inferred ['power', 'psychology', 'timing']
Chapter 19, chunk 1: domains missing; inferred ['strategy']
Chapter 38, chunk 1: domains missing; inferred ['timing']
Chapter 21, chunk 1: domains missing; inferred ['timing', 'base', 'power']
Chapter 23, chunk 1: domains missing; inferred ['timing', 'base', 'data']
Chapter 39, chunk 1: domains missing; inferred ['timing', 'base', 'technology']
Chapter 40, chunk 1: domains missing; inferred ['base', 'timing']
Chapter 25, chunk 1: domains missing; inferred ['technology', 'timing', 'optionality']
Chapter 27, chunk 1: domains missing; inferred ['timing', 'base', 'discipline']
Chapter 41, chunk 1: domains missing; inferred ['timing', 'base', 'discipline']
Chapter 42, chunk 1: domains missing; inferred ['timing', 'truth', 'base']
Chapter 28, chunk 1: domains missing; inferred ['timing', 'psychology', 'truth']
Chapter 29, chunk 1: domains missing; inferred ['base', 'truth', 'discipline']
Chapter 43, chunk 1: domains missing; inferred ['power', 'base', 'registry']
Chapter 44, chunk 1: domains missing; inferred ['power', 'diplomacy', 'registry']
Chapter 30, chunk 1: domains missing; inferred ['timing', 'power', 'discipline']
Chapter 31, chunk 1: domains missing; inferred ['timing', 'strategy', 'truth']
Chapter 45, chunk 1: domains missing; inferred ['diplomacy', 'timing']
Chapter 46, chunk 1: domains missing; inferred ['timing', 'risk', 'data']
Chapter 32, chunk 1: domains missing; inferred ['timing', 'strategy', 'truth']
Chapter 33, chunk 1: domains missing; inferred ['timing', 'truth']
Chapter 47, chunk 1: domains missing; inferred ['timing', 'strategy', 'base']
Chapter 48, chunk 1: domains missing; inferred ['psychology', 'risk', 'strategy']
Chapter 34, chunk 1: domains missing; inferred ['truth', 'base', 'discipline']
Chapter 35, chunk 1: domains missing; inferred ['strategy']
Chapter 49, chunk 1: domains missing; inferred ['timing', 'power', 'risk']
Chapter 50, chunk 1: domains missing; inferred ['data', 'timing', 'power']
Chapter 36, chunk 1: domains missing; inferred ['psychology', 'power', 'legitimacy']
Chapter 37, chunk 1: domains missing; inferred ['base', 'timing', 'truth']
Chapter 51, chunk 1: domains missing; inferred ['timing', 'data', 'power']
Chapter 52, chunk 1: domains missing; inferred ['timing', 'truth', 'base']
Chapter 38, chunk 1: domains missing; inferred ['timing']
Chapter 39, chunk 1: domains missing; inferred ['timing', 'base', 'technology']
Chapter 53, chunk 1: domains missing; inferred ['power', 'discipline', 'strategy']
Chapter 54, chunk 1: domains missing; inferred ['psychology', 'timing', 'power']
Chapter 40, chunk 1: domains missing; inferred ['base', 'timing']
Chapter 41, chunk 1: domains missing; inferred ['timing', 'base', 'discipline']
Chapter 55, chunk 1: domains missing; inferred ['psychology', 'power', 'timing']
Chapter 56, chunk 1: domains missing; inferred ['timing', 'truth', 'data']
Chapter 42, chunk 1: domains missing; inferred ['timing', 'truth', 'base']
Chapter 43, chunk 1: domains missing; inferred ['power', 'base', 'registry']
Chapter 57, chunk 1: domains missing; inferred ['timing', 'base', 'psychology']
Chapter 58, chunk 1: domains missing; inferred ['power', 'strategy', 'truth']
Chapter 44, chunk 1: domains missing; inferred ['power', 'diplomacy', 'registry']
Chapter 45, chunk 1: domains missing; inferred ['diplomacy', 'timing']
Chapter 59, chunk 1: domains missing; inferred ['discipline', 'strategy']
Chapter 60, chunk 1: domains missing; inferred ['power', 'timing']
Chapter 46, chunk 1: domains missing; inferred ['timing', 'risk', 'data']
Chapter 47, chunk 1: domains missing; inferred ['timing', 'strategy', 'base']
Chapter 61, chunk 1: domains missing; inferred ['power', 'psychology']
Chapter 62, chunk 1: domains missing; inferred ['timing', 'base', 'power']
Chapter 48, chunk 1: domains missing; inferred ['psychology', 'risk', 'strategy']
Chapter 49, chunk 1: domains missing; inferred ['timing', 'power', 'risk']
Chapter 63, chunk 1: domains missing; inferred ['timing', 'base', 'power']
Chapter 64, chunk 1: domains missing; inferred ['power', 'timing', 'constraints']
