Chapter 2, chunk 1: domains missing; inferred ['data', 'truth', 'base']
Chapter 1, chunk 1: domains missing; inferred ['timing']
Chapter 1, chunk 1: domains missing; inferred ['data', 'timing', 'truth']
Chapter 3, chunk 1: domains missing; inferred ['power', 'conflict', 'risk']
Chapter 3, chunk 1: domains missing; inferred ['power', 'conflict', 'risk']
Chapter 1, chunk 1: domains missing; inferred ['data', 'timing', 'truth']
Chapter 3, chunk 1: domains missing; inferred ['strategy']
Chapter 4, chunk 1: domains missing; inferred ['power', 'risk']
Chapter 4, chunk 1: domains missing; inferred ['timing', 'strategy', 'constraints']
Chapter 5, chunk 1: domains missing; inferred ['timing', 'power', 'strategy']
Chapter 4, chunk 1: domains missing; inferred ['timing', 'strategy', 'constraints']
Chapter 5, chunk 1: domains missing; inferred ['timing', 'power', 'strategy']
Chapter 5, chunk 1: domains missing; inferred ['conflict', 'power', 'timing']
Chapter 6, chunk 1: domains missing; inferred ['timing', 'strategy', 'constraints']
Chapter 6, chunk 1: domains missing; inferred ['strategy']
Chapter 6, chunk 1: domains missing; inferred ['strategy']
Chapter 7, chunk 1: domains missing; inferred ['registry']
Chapter 7, chunk 1: domains missing; inferred ['registry']
Chapter 8, chunk 1: domains missing; inferred ['timing', 'strategy', 'truth']
Chapter 9, chunk 1: domains missing; inferred ['risk', 'constraints', 'diplomacy']
Chapter 9, chunk 1: domains missing; inferred ['timing', 'truth']
Chapter 8, chunk 1: domains missing; inferred ['timing', 'strategy', 'truth']
Chapter 9, chunk 1: domains missing; inferred ['risk', 'constraints', 'diplomacy']
Chapter 10, chunk 1: domains missing; inferred ['risk', 'diplomacy', 'power']
Chapter 10, chunk 1: domains missing; inferred ['power', 'timing', 'optionality']
Chapter 11, chunk 1: domains missing; inferred ['timing', 'base', 'constraints']
Chapter 11, chunk 1: domains missing; inferred ['psychology', 'timing', 'truth']
Chapter 10, chunk 1: domains missing; inferred ['power', 'timing', 'optionality']
Chapter 11, chunk 1: domains missing; inferred ['timing', 'base', 'constraints']
Chapter 12, chunk 1: domains missing; inferred ['strategy']
Chapter 12, chunk 1: domains missing; inferred ['timing', 'executor', 'risk']
Chapter 13, chunk 1: domains missing; inferred ['technology', 'timing', 'optionality']
Chapter 13, chunk 1: domains missing; inferred ['discipline', 'timing']
Chapter 12, chunk 1: domains missing; inferred ['timing', 'executor', 'risk']
Chapter 13, chunk 1: domains missing; inferred ['technology', 'timing', 'optionality']
Chapter 14, chunk 1: domains missing; inferred ['power', 'timing', 'constraints']
Chapter 14, chunk 1: domains missing; inferred ['timing']
Chapter 15, chunk 1: domains missing; inferred ['discipline', 'power', 'risk']
Chapter 15, chunk 1: domains missing; inferred ['optionality', 'strategy', 'timing']
Chapter 14, chunk 1: domains missing; inferred ['timing']
Chapter 15, chunk 1: domains missing; inferred ['discipline', 'power', 'risk']
Chapter 16, chunk 1: domains missing; inferred ['timing', 'power']
Chapter 16, chunk 1: domains missing; inferred ['optionality', 'power', 'risk']
Chapter 17, chunk 1: domains missing; inferred ['timing', 'strategy', 'base']
Chapter 17, chunk 1: domains missing; inferred ['strategy']
Chapter 16, chunk 1: domains missing; inferred ['optionality', 'power', 'risk']
Chapter 17, chunk 1: domains missing; inferred ['timing', 'strategy', 'base']
Chapter 18, chunk 1: domains missing; inferred ['timing', 'strategy', 'base']
Chapter 18, chunk 1: domains missing; inferred ['timing', 'power']
Chapter 19, chunk 1: domains missing; inferred ['strategy']
Chapter 19, chunk 1: domains missing; inferred ['strategy', 'discipline', 'timing']
Chapter 18, chunk 1: domains missing; inferred ['timing', 'power']
Chapter 19, chunk 1: domains missing; inferred ['strategy']
Chapter 20, chunk 1: domains missing; inferred ['timing', 'base', 'discipline']
Chapter 20, chunk 1: domains missing; inferred ['timing', 'strategy', 'base']
Chapter 21, chunk 1: domains missing; inferred ['strategy', 'timing', 'truth']
Chapter 21, chunk 1: domains missing; inferred ['power', 'truth', 'base']
Chapter 20, chunk 1: domains missing; inferred ['timing', 'strategy', 'base']
Chapter 21, chunk 1: domains missing; inferred ['strategy', 'timing', 'truth']
Chapter 22, chunk 1: domains missing; inferred ['timing', 'technology', 'base']
Chapter 22, chunk 1: domains missing; inferred ['discipline', 'optionality', 'strategy']
Chapter 23, chunk 1: domains missing; inferred ['power', 'truth', 'base']
Chapter 23, chunk 1: domains missing; inferred ['power', 'strategy', 'psychology']
Chapter 23, chunk 1: domains missing; inferred ['power', 'truth', 'base']
Chapter 22, chunk 1: domains missing; inferred ['discipline', 'optionality', 'strategy']
Chapter 24, chunk 1: domains missing; inferred ['strategy', 'timing', 'power']
Chapter 24, chunk 1: domains missing; inferred ['optionality', 'power', 'timing']
Chapter 25, chunk 1: domains missing; inferred ['timing', 'technology', 'base']
Chapter 25, chunk 1: domains missing; inferred ['strategy', 'timing', 'risk']
Chapter 24, chunk 1: domains missing; inferred ['optionality', 'power', 'timing']
Chapter 25, chunk 1: domains missing; inferred ['timing', 'technology', 'base']
Chapter 26, chunk 1: domains missing; inferred ['strategy', 'timing', 'power']
Chapter 26, chunk 1: domains missing; inferred ['strategy']
Chapter 27, chunk 1: domains missing; inferred ['power', 'strategy', 'timing']
Chapter 27, chunk 1: domains missing; inferred ['timing', 'strategy', 'discipline']
Chapter 26, chunk 1: domains missing; inferred ['strategy']
Chapter 27, chunk 1: domains missing; inferred ['power', 'strategy', 'timing']
Chapter 28, chunk 1: domains missing; inferred ['timing']
Chapter 28, chunk 1: domains missing; inferred ['optionality']
Chapter 29, chunk 1: domains missing; inferred ['optionality', 'diplomacy', 'power']
Chapter 28, chunk 1: domains missing; inferred ['optionality']
Chapter 29, chunk 1: domains missing; inferred ['optionality', 'diplomacy', 'power']
Chapter 30, chunk 1: domains missing; inferred ['timing', 'constraints', 'strategy']
Chapter 31, chunk 1: domains missing; inferred ['timing', 'constraints', 'strategy']
Chapter 30, chunk 1: domains missing; inferred ['strategy', 'timing', 'power']
Chapter 31, chunk 1: domains missing; inferred ['strategy', 'timing', 'risk']
Chapter 30, chunk 1: domains missing; inferred ['strategy', 'timing', 'power']
Chapter 31, chunk 1: domains missing; inferred ['strategy', 'timing', 'risk']
Chapter 32, chunk 1: domains missing; inferred ['timing', 'power', 'base']
Chapter 33, chunk 1: domains missing; inferred ['strategy', 'power', 'timing']
Chapter 32, chunk 1: domains missing; inferred ['strategy', 'timing', 'power']
Chapter 33, chunk 1: domains missing; inferred ['timing', 'strategy', 'discipline']
Chapter 32, chunk 1: domains missing; inferred ['strategy', 'timing', 'power']
Chapter 33, chunk 1: domains missing; inferred ['timing', 'strategy', 'discipline']
Chapter 34, chunk 1: domains missing; inferred ['timing']
Chapter 35, chunk 1: domains missing; inferred ['strategy', 'base', 'power']
Chapter 34, chunk 1: domains missing; inferred ['timing', 'strategy', 'constraints']
Chapter 35, chunk 1: domains missing; inferred ['constraints', 'timing', 'power']
Chapter 35, chunk 1: domains missing; inferred ['constraints', 'timing', 'power']
]
Chapter 36, chunk 1: domains missing; inferred ['strategy', 'truth', 'constraints']
Chapter 37, chunk 1: domains missing; inferred ['risk', 'timing', 'strategy']
Chapter 36, chunk 1: domains missing; inferred ['timing', 'constraints', 'strategy']
Chapter 37, chunk 1: domains missing; inferred ['timing', 'truth', 'power']
Chapter 36, chunk 1: domains missing; inferred ['timing', 'constraints', 'strategy']
Chapter 37, chunk 1: domains missing; inferred ['timing', 'truth', 'power']
Chapter 38, chunk 1: domains missing; inferred ['constraints', 'strategy', 'truth']
Chapter 39, chunk 1: domains missing; inferred ['risk', 'timing', 'power']
Chapter 38, chunk 1: domains missing; inferred ['timing', 'strategy', 'conflict']
Chapter 39, chunk 1: domains missing; inferred ['strategy', 'power', 'truth']
Chapter 39, chunk 1: domains missing; inferred ['strategy', 'power', 'truth']
Chapter 38, chunk 1: domains missing; inferred ['timing', 'strategy', 'conflict']
Chapter 40, chunk 1: domains missing; inferred ['risk', 'strategy']
Chapter 41, chunk 1: domains missing; inferred ['timing', 'constraints', 'strategy']
Chapter 40, chunk 1: domains missing; inferred ['strategy', 'truth', 'constraints']
Chapter 41, chunk 1: domains missing; inferred ['risk', 'timing', 'strategy']
Chapter 41, chunk 1: domains missing; inferred ['risk', 'timing', 'strategy']
Chapter 40, chunk 1: domains missing; inferred ['strategy', 'truth', 'constraints']
